question,category,option,number
,,no,7
,documentation_language_portuguese,yes,0
,,no,7
,documentation_language_russian,yes,0
,,no,7
,documentation_language_spanish,yes,0
,,no,7
,documentation_language_swedish,yes,0
,,no,7
,documentation_language_turkish,yes,0
,,no,7
,#other,yes,0
,,no,7
,#not_applicable,yes,0
,,no,7
"Is there a method to get active support from the developer(s) or from the community?",,yes,7
,,no,0
"Which form of support is offered?",support_form_help,yes,0
,,no,7
,support_form_forum,yes,2
,,no,5
,support_form_mailinglist,yes,4
,,no,3
,#other,yes,4
,,no,3
,#not_applicable,yes,0
,,no,7
"Is it possible to post bugs or issue using issue tracker mechanisms?",,yes,5
,,no,2
"Is there a test suite, covering the core functionality in order to check that the tool has been correctly built or installed?",,yes,1
,,no,6
"On which platforms can the tool/software be deployed?",platform_deploy_linux,yes,4
,,no,3
,platform_deploy_mac,yes,4
,,no,3
,platform_deploy_android,yes,1
,,no,6
,platform_deploy_ios,yes,1
,,no,6
,platform_deploy_windows,yes,4
,,no,3
,#other,yes,0
,,no,7
,#not_applicable,yes,3
,,no,4
"On which devices can the tool/software be deployed?",devices_deploy_desktop,yes,4
,,no,3
,devices_deploy_laptop,yes,4
,,no,3
,devices_deploy_smartphone,yes,2
,,no,5
,devices_deploy_tablet,yes,2
,,no,5
,devices_deploy_smartboard,yes,0
,,no,7
,#other,yes,1
,,no,6
,#unknown,yes,0
,,no,7
,#not_applicable,yes,3
,,no,4
"If the tool is web-based: On which browsers can the tool/software be deployed?",browser_deploy_mozilla,yes,2
,,no,5
,browser_deploy_chrome,yes,2
,,no,5
,browser_deploy_safari,yes,2
,,no,5
,#other,yes,0
,,no,7
,#unknown,yes,3
,,no,4
,#not_applicable,yes,2
,,no,5
"If the tool is web-based: Does the tool rely on browser plugins?",,yes,0
,,no,5
,,not applicable,2
"Is there an API for the tool?",,yes,3
,,no,4
"Is the source code open?",,yes,6
,,no,1
"Under what license is the tool released?",license_gpl,yes,2
,,no,5
,license_lgpl,yes,0
,,no,7
,license_apache,yes,1
,,no,6
,license_mit,yes,0
,,no,7
,license_mozilla,yes,0
,,no,7
,license_cc0,yes,0
,,no,7
,license_ccby,yes,0
,,no,7
,license_ccbynd,yes,0
,,no,7
,license_ccbync,yes,0
,,no,7
,license_ccbysa,yes,0
,,no,7
,license_ccbyncnd,yes,0
,,no,7
,license_ccbyncsa,yes,0
,,no,7
,#other,yes,2
,,no,5
,license_notexplicit,yes,1
,,no,6
"Does the software make adequate acknowledgement and credit to the project contributors?",,yes,5
,,no,2
"Is the tool/software registered in a software repository?",,yes,5
,,no,2
"If yes, can you contribute to the software development via the repository/development platform?",,yes,5
,,no,0
,,not applicable,2
"Can the code be analyzed easily (is it structured, commented, following standards)?",,yes,2
,,no,1
,,unknown,4
,,not applicable,0
"Can the code be extended easily (because there are contribution mechanisms, attribution for changes and backward compatibility)?",,yes,2
,,no,1
,,unknown,4
,,not applicable,0
"Can the code be reused easily in other contexts (because there are appropriate interfaces and/or a modular architecture)?",,yes,1
,,no,2
,,unknown,4
,,not applicable,0
"Does the software provide sufficient information about the treatment of the data entered by the users?",,yes,2
,,no,5
"Is there information available whether the tool will be supported currently and in the future?",,yes,3
,,no,4
"Does the tool supply citation guidelines (e.g. using the Citation File Format)?",,yes,2
,,no,5
"What kind of users are expected?",user_researcher,yes,7
,,no,0
,user_scientist,yes,1
,,no,6
,user_humanist,yes,6
,,no,1
,user_public,yes,1
,,no,6
"What kind of user interactions are expected?",user_interaction_reading,yes,7
,,no,0
,user_interaction_text,yes,6
,,no,1
,user_interaction_analysis,yes,4
,,no,3
,user_interaction_image,yes,0
,,no,7
,user_interaction_searching,yes,4
,,no,3
,user_interaction_visualization,yes,5
,,no,2
,user_interaction_comparing,yes,4
,,no,3
,user_interaction_compiling,yes,1
,,no,6
"What kind of interface does the tool provide?",user_interface_gui,yes,5
,,no,2
,user_interface_cli,yes,2
,,no,5
,user_interface_api,yes,1
,,no,6
"Does the tool provide a particular visualizations (in terms of analysis) of the input and/or the output data?",,yes,5
,,no,2
"Is the user allowed to customize the functioning of the tool and the output configuration?",,yes,7
,,no,0
"Does the tool provide particular features for improving accessibility, allowing „people with the widest range of characteristics and capabilities to use it?",,yes,1
,,no,6
